id,release_date,movie,production_budget,domestic_gross,worldwide_gross,worldwide_roi,roi_category,movie_year,tconst,primary_title,original_title,start_year,runtime_minutes,genres
36,"Nov 21, 2014",Food Chains,913000,0,176,0.019277108433734938,low,Food Chains (2014),tt2141739,Food Chains,Food Chains,2014.0,83.0,Documentary
3,"Dec 11, 2015",American Hero,1000000,0,26,0.0026,low,American Hero (2015),tt4733536,American Hero,American Hero,2015.0,86.0,"Action,Comedy,Drama"
66,"Jan 19, 2016",Eden,2300000,0,0,0.0,low,Eden (2016),tt2132321,Eden,Eden,2016.0,71.0,Drama
50,"Sep 4, 2015",Heroes of Dirt,175000,0,0,0.0,low,Heroes of Dirt (2015),tt1934172,Heroes of Dirt,Heroes of Dirt,2015.0,98.0,"Action,Drama,Sport"
28,"Dec 31, 2014",House at the End of the Drive,1400000,0,0,0.0,low,House at the End of the Drive (2014),tt0464054,House at the End of the Drive,House at the End of the Drive,2014.0,91.0,"Horror,Thriller"
70,"Jul 18, 2014",An American in Hollywood,125000,0,0,0.0,low,An American in Hollywood (2014),tt2125430,An American in Hollywood,An American in Hollywood,2014.0,89.0,Drama
59,"Dec 1, 2017",Daisy Winters,4500000,0,0,0.0,low,Daisy Winters (2017),tt3702088,Daisy Winters,Daisy Winters,2017.0,90.0,Drama
87,"Feb 3, 2015",Bleeding Hearts,1200000,0,0,0.0,low,Bleeding Hearts (2015),tt2622294,Bleeding Hearts,Bleeding Hearts,2015.0,100.0,Horror
64,"May 3, 2013",Aroused,150000,0,0,0.0,low,Aroused (2013),tt2403815,Aroused,Aroused,2013.0,66.0,Documentary
7,"Dec 31, 2010",The Dead Undead,1100000,0,0,0.0,low,The Dead Undead (2010),tt0923653,The Dead Undead,The Dead Undead,2010.0,89.0,"Action,Horror,Sci-Fi"
26,"May 1, 2010",My Girlfriend's Boyfriend,1400000,0,0,0.0,low,My Girlfriend's Boyfriend (2010),tt1447793,My Girlfriend's Boyfriend,My Girlfriend's Boyfriend,2010.0,84.0,"Comedy,Romance"
58,"Nov 3, 2015",The Final Girls,4500000,0,0,0.0,low,The Final Girls (2015),tt2118624,The Final Girls,The Final Girls,2015.0,88.0,"Comedy,Drama,Fantasy"
3,"Dec 31, 2015",Shooting the Warwicks,250000,0,0,0.0,low,Shooting the Warwicks (2015),tt2690560,Shooting the Warwicks,Reality Show,2015.0,95.0,"Comedy,Drama"
98,"Dec 31, 2010",Butterfly,250000,0,0,0.0,low,Butterfly (2010),tt1342096,Butterfly,Butterfly,2010.0,90.0,"Horror,Thriller"
42,"Dec 31, 2014",H.,200000,0,0,0.0,low,H. (2014),tt3666210,H.,H.,2014.0,93.0,"Drama,Sci-Fi,Thriller"
90,"Nov 21, 2014",Reach Me,5000000,0,0,0.0,low,Reach Me (2014),tt0959306,Reach Me,Reach Me,2014.0,95.0,"Comedy,Crime,Drama"
57,"Aug 28, 2015",Zipper,4500000,0,0,0.0,low,Zipper (2015),tt3346224,Zipper,Zipper,2015.0,112.0,"Drama,Thriller"
8,"Dec 31, 2013",The Vatican Exorcisms,1100000,0,0,0.0,low,The Vatican Exorcisms (2013),tt3043194,The Vatican Exorcisms,The Vatican Exorcisms,2013.0,76.0,Horror
5,"Oct 9, 2015",Western Religion,250000,0,0,0.0,low,Western Religion (2015),tt3210710,Western Religion,Western Religion,2015.0,105.0,"Adventure,Drama,Fantasy"
47,"May 19, 2015",Into the Grizzly Maze,10000000,0,0,0.0,low,Into the Grizzly Maze (2015),tt1694021,Into the Grizzly Maze,Into the Grizzly Maze,2015.0,94.0,"Action,Adventure,Drama"
54,"Oct 3, 2014",Drive Hard,12000000,0,0,0.0,low,Drive Hard (2014),tt2968804,Drive Hard,Drive Hard,2014.0,92.0,"Action,Comedy,Crime"
56,"Nov 7, 2014",Fugly,4500000,0,0,0.0,low,Fugly (2014),tt3683702,Fugly,Fugly,2014.0,134.0,"Drama,Thriller"
52,"Dec 1, 2015",Dutch Kills,25000,0,0,0.0,low,Dutch Kills (2015),tt2759066,Dutch Kills,Dutch Kills,2015.0,90.0,"Crime,Drama,Thriller"
91,"Jul 9, 2013",Coffee Town,2000000,0,0,0.0,low,Coffee Town (2013),tt2234025,Coffee Town,Coffee Town,2013.0,87.0,Comedy
42,"Dec 31, 2013",Paraphobia,30000,0,0,0.0,low,Paraphobia (2013),tt3123250,Paraphobia,Paraphobia,2013.0,80.0,"Comedy,Horror,Thriller"
35,"Oct 25, 2013",Her Cry: La Llorona Investigation,35000,0,0,0.0,low,Her Cry: La Llorona Investigation (2013),tt2469216,Her Cry: La Llorona Investigation,Her Cry: La Llorona Investigation,2013.0,89.0,Horror
92,"Dec 31, 2014",Lucky Dog,2000000,0,0,0.0,low,Lucky Dog (2014),tt3149360,Lucky Dog,Lucky Dog,2014.0,88.0,Family
87,"Mar 19, 2013",Straight A's,2000000,0,0,0.0,low,Straight A's (2013),tt2024506,Straight A's,Straight A's,2013.0,91.0,"Comedy,Drama"
89,"Dec 31, 2012",Highway,2000000,0,0,0.0,low,Highway (2012),tt1693107,Highway,Hillbilly Highway,2012.0,77.0,Comedy
89,"Dec 31, 2012",Highway,2000000,0,0,0.0,low,Highway (2012),tt2210657,Highway,Highway,2012.0,80.0,Drama
49,"Sep 2, 2016",Antibirth,2500000,0,0,0.0,low,Antibirth (2016),tt3333870,Antibirth,Antibirth,2016.0,94.0,Horror
57,"Nov 14, 2014",Always Woodstock,2400000,0,0,0.0,low,Always Woodstock (2014),tt1995477,Always Woodstock,There's Always Woodstock,2014.0,97.0,"Comedy,Music,Romance"
62,"Dec 31, 2014",Stories of Our Lives,15000,0,0,0.0,low,Stories of Our Lives (2014),tt3973612,Stories of Our Lives,Stories of Our Lives,2014.0,60.0,Drama
46,"Jul 3, 2015",Stung,2500000,0,0,0.0,low,Stung (2015),tt3300572,Stung,Stung,2015.0,87.0,"Action,Adventure,Comedy"
59,"Nov 25, 2011",The Ridges,17300,0,0,0.0,low,The Ridges (2011),tt1781935,The Ridges,The Ridges,2011.0,89.0,"Drama,Horror,Thriller"
33,"Mar 31, 2012",Foreign Letters,40000,0,0,0.0,low,Foreign Letters (2012),tt1492841,Foreign Letters,Foreign Letters,2012.0,99.0,"Comedy,Drama"
80,"Dec 13, 2017",Bright,90000000,0,0,0.0,low,Bright (2017),tt5519340,Bright,Bright,2017.0,117.0,"Action,Crime,Fantasy"
55,"Jun 25, 2013",Hansel & Gretel Get Baked,4500000,0,0,0.0,low,Hansel & Gretel Get Baked (2013),tt2081194,Hansel & Gretel Get Baked,Hansel & Gretel Get Baked,2013.0,86.0,"Comedy,Horror"
96,"Mar 20, 2015",The Walking Deceased,2000000,0,0,0.0,low,The Walking Deceased (2015),tt3499458,The Walking Deceased,Walking with the Dead,2015.0,88.0,"Comedy,Horror"
97,"Dec 31, 2011",True Bromance,2000000,0,0,0.0,low,True Bromance (2011),tt1839425,True Bromance,True Bromance,2011.0,96.0,Comedy
98,"Aug 21, 2015",The Curse of Downers Grove,2000000,0,0,0.0,low,The Curse of Downers Grove (2015),tt1772261,The Curse of Downers Grove,The Curse of Downers Grove,2015.0,89.0,"Drama,Horror,Mystery"
99,"Dec 31, 2015",Wind Walkers,2000000,0,0,0.0,low,Wind Walkers (2015),tt1236254,Wind Walkers,Wind Walkers,2015.0,93.0,"Action,Horror,Thriller"
91,"Aug 18, 2014",Henry & Me,5000000,0,0,0.0,low,Henry & Me (2014),tt1460798,Henry & Me,Henry & Me,2014.0,67.0,"Animation,Family"
26,"Dec 31, 2014",The Image Revolution,50000,0,0,0.0,low,The Image Revolution (2014),tt2294916,The Image Revolution,The Image Revolution,2014.0,81.0,"Biography,Documentary"
